playerid,name,mlb,pos,vpos,age,pts,par,base_value,league_value,salary,surplus,arb,keeper_salary,keeper_surplus,keeper_npv,cut_gain,owner
21711,Oneil Cruz,PIT,OF,OF,27,643.5,171.7,18,,13.0,5.0,1,16.0,2.0,0.6,-12.0,Seiya Prayer For My Team
27676,Vinnie Pasquantino,KCR,1B,1B,28,735.2,165.2,18,,,,,,,,,FA
19853,Michael King,SDP,SP,SP,31,726.2,168.4,18,,10.0,8.0,2,14.0,4.0,0.0,-13.0,Chin Music Choir
22201,MacKenzie Gore,TEX,SP,SP,27,726.9,169.1,18,,23.0,-5.0,0,25.0,-7.0,0.0,-7.0,Knowznothin
17479,Jack Flaherty,DET,SP,SP,30,722.5,164.8,18,,13.0,5.0,1,16.0,2.0,0.0,-12.0,Knowznothin
20633,Yusei Kikuchi,LAA,SP,SP,35,725.8,168.0,18,,,,,,,,,FA
30134,Tanner Bibee,CLE,SP,SP,27,724.0,166.2,18,,14.0,4.0,1,17.0,1.0,0.0,-11.0,Bloom's Onions
11486,Robbie Ray,SDP,SP,SP,34,726.0,168.2,18,,7.0,11.0,2,11.0,7.0,0.3,-15.0,The Northsiders
24679,Brendan Donovan,SEA,2B/SS/3B/OF,OF,29,630.8,159.0,17,,9.0,8.0,2,13.0,4.0,1.5,-13.0,The Northsiders
18839,Josh Naylor,SEA,1B,1B,29,723.8,153.8,17,,13.0,4.0,1,16.0,1.0,0.0,-11.0,Iron 
21483,Shane McClanahan,TBR,SP,SP,29,712.2,154.7,17,,11.0,6.0,1,14.0,3.0,0.0,-12.0,Rock the Casasbah
30122,Gavin Williams,CLE,SP,SP,26,719.1,161.5,17,,7.0,10.0,2,11.0,6.0,1.3,-14.0,Barreled Souls
33927,Grant Taylor,CHW,RP,RP,24,553.8,160.7,17,,5.0,12.0,2,9.0,8.0,1.3,-15.0,Twin Pines 🌲🌲
21029,Jhoan Duran,PHI,RP,RP,28,555.9,162.4,17,,12.0,5.0,1,15.0,2.0,0.0,-11.0,Twin Pines 🌲🌲
27867,Cade Smith,CLE,RP,RP,27,551.9,159.2,17,,7.0,10.0,2,11.0,6.0,1.2,-14.0,Rock the Casasbah
22186,Brice Turang,MIL,2B,2B,26,680.2,143.9,16,,4.0,12.0,3,9.0,7.0,2.9,-14.0,Sweet Spot
22515,Heliot Ramos,NYY,OF,OF,26,621.0,149.2,16,,10.0,6.0,1,13.0,3.0,1.1,-11.0,Bloom's Onions
24586,Kyle Bradish,BAL,SP,SP,29,710.0,152.6,16,,7.0,9.0,2,11.0,5.0,1.0,-13.0,Peel A Section
