Name,OttoneuID,"FG MajorLeagueID","FG MinorLeagueID","MLB Org",Position(s),"Avg Salary","Median Salary","Min Salary","Max Salary","Last 10",Roster%
"Logan Gilbert",33682,22250,sa3008598,SEA,SP,$24.93,$26.00,$12,$37,$28.90,100
"Seiya Suzuki",40927,30116,sa3018052,CHC,OF,$23.76,$24.00,$11,$36,$24.00,100
"Alex Bregman",18480,17678,sa659419,CHC,3B,$23.75,$24.00,$10,$35,$15.30,100
"George Kirby",36671,25436,sa3011526,SEA,SP,$23.36,$23.00,$12,$36,$26.60,98.305
"Chris Sale",14393,10603,sa392121,ATL,SP,$23.36,$24.00,$11,$37,$27.20,100
"Zack Wheeler",15962,10310,sa500722,PHI,SP,$23.12,$23.00,$6,$44,$22.40,100
"Junior Caminero",39108,28163,sa3015532,TBR,3B,$22.93,$19.00,$9,$57,$44.90,100
"Bo Bichette",23767,19612,sa917949,NYM,SS/3B,$21.95,$22.00,$12,$39,$18.80,100
"Cristopher Sanchez",20975,20778,sa828749,PHI,SP,$21.90,$20.00,$7,$53,$37.10,100
"Jackson Chourio",39277,28806,sa3015704,MIL,OF,$21.76,$19.00,$8,$44,$33.60,100
"Cal Raleigh",33654,21534,sa3008377,SEA,C,$21.63,$22.00,$10,$44,$17.10,94.915
"Christian Yelich",14893,11477,sa548190,MIL,OF,$21.42,$22.00,$10,$31,$20.00,96.61
"Riley Greene",36509,25976,sa3010694,DET,OF,$21.31,$21.00,$10,$51,$30.00,100
"James Wood",40188,29518,sa3016870,WSN,OF,$21.14,$18.00,$8,$43,$35.30,100
"Mike Trout",6305,10155,sa500736,LAA,OF,$21.10,$21.00,$9,$31,$19.20,100
"Austin Riley",22674,18360,sa874756,ATL,3B,$20.98,$21.00,$5,$39,$13.90,77.966
"Hunter Brown",37201,25880,sa3010571,HOU,SP,$20.31,$19.00,$9,$39,$31.50,100
"Jazz Chisholm Jr.",23762,20454,sa919327,NYY,2B/3B,$19.46,$20.00,$11,$31,$21.20,96.61
"Tyler Glasnow",18236,14374,sa597835,LAD,SP,$19.14,$19.00,$11,$32,$18.50,100
"Randy Arozarena",23840,19290,sa914549,SEA,OF,$19.02,$19.00,$10,$31,$19.60,100
"Freddy Peralta",19168,18679,sa737343,TBR,SP,$18.86,$19.00,$7,$30,$12.00,100
"Kevin Gausman",18196,14107,sa548347,CHC,SP,$18.83,$19.00,$9,$32,$15.60,100
"Oneil Cruz",32291,21711,sa917318,PIT,OF,$18.64,$18.00,$11,$32,$17.20,100
"Nick Kurtz",45716,35110,sa3025385,ATH,1B,$18.41,$15.00,$4,$51,$38.70,100
"Cody Bellinger",19328,15998,sa737794,NYY,OF,$18.31,$18.00,$9,$28,$19.70,100
"Jacob DeGrom",14294,10954,sa548447,TEX,SP,$18.27,$18.00,$7,$32,$23.20,100
"Blake Snell",18460,13543,sa597786,LAD,SP,$17.92,$17.00,$9,$30,$14.10,100
"Sonny Gray",18113,12768,sa455516,BOS,SP,$17.75,$18.00,$8,$32,$16.60,100
"Bryan Woo",41042,30279,sa3018290,SEA,SP,$17.66,$16.00,$7,$36,$27.30,100
"Jackson Merrill",40142,29490,sa3016829,SDP,OF,$16.88,$15.00,$6,$33,$25.10,100
"Jose Altuve",5918,5417,sa455591,HOU,2B/OF,$16.56,$16.00,$4,$32,$10.80,96.61
"Ian Happ",18479,17919,sa827194,CHC,OF,$16.48,$17.00,$8,$24,$17.20,98.305
"Joe Ryan",35196,21390,sa3007584,MIN,SP,$16.47,$16.00,$9,$25,$19.40,98.305
"Wyatt Langford",43896,33333,sa3022654,TEX,OF,$16.42,$14.00,$6,$38,$26.40,100
"Jesus Luzardo",23741,19959,sa917981,PHI,SP,$16.37,$16.00,$5,$39,$22.50,100
"William Contreras",22391,20503,sa872847,MIL,C,$16.33,$17.00,$9,$25,$16.10,98.305
"Jarren Duran",33685,24617,sa3006786,BOS,OF,$16.15,$15.50,$7,$29,$11.80,91.525
"Brandon Nimmo",18126,12927,sa597760,TEX,OF,$16.10,$16.00,$6,$25,$14.70,100
"Pete Crow-Armstrong",38327,27769,sa3014458,CHC,OF,$15.14,$14.00,$5,$33,$24.50,100
"Teoscar Hernandez",23651,13066,sa596861,LAD,OF,$14.94,$15.00,$6,$29,$10.10,91.525
"Michael Harris II",37295,25931,sa3010684,ATL,OF,$14.69,$14.00,$8,$30,$12.90,100
"Cole Ragans",23625,21846,sa917938,KCR,SP,$14.64,$12.50,$5,$35,$9.20,71.186
"Mason Miller",40862,31757,sa3017934,SDP,RP,$14.59,$13.00,$7,$31,$22.30,100
"Spencer Strider",38736,27498,sa3015059,ATL,SP,$14.55,$13.00,$4,$35,$9.10,67.797
"Hunter Greene",23824,22182,sa3005315,CIN,SP,$14.48,$13.00,$5,$26,$12.00,49.153
"Will Smith",23654,19197,sa873265,LAD,C,$14.27,$14.00,$6,$25,$9.10,94.915
"Roman Anthony",42409,31812,sa3020211,BOS,OF,$14.17,$12.00,$4,$41,$28.70,100
"Bryan Reynolds",23825,19326,sa873683,PIT,OF,$13.93,$13.00,$4,$27,$12.80,100
"Jhoan Duran",22559,21029,sa873347,PHI,RP,$13.86,$13.00,$9,$22,$17.60,100
"CJ Abrams",36922,25768,sa3010152,WSN,2B/SS,$13.80,$13.00,$8,$24,$16.90,100
"Luis Castillo",23732,15689,sa657487,CHW,SP,$13.73,$13.50,$2,$35,$5.70,50.847
"Michael King",31751,19853,sa874220,SDP,SP,$13.59,$13.00,$7,$23,$13.30,100
"Josh Naylor",22655,18839,sa874243,SEA,1B,$13.24,$13.00,$6,$22,$11.20,86.441
"Yandy Diaz",18517,16578,sa823741,TBR,1B,$13.22,$12.00,$6,$26,$16.80,100
"Brent Rooker",23793,19627,sa3003172,ATH,OF,$13.13,$12.00,$6,$33,$9.70,88.136
"Byron Buxton",18163,14161,sa657851,MIN,OF,$13.05,$13.00,$6,$24,$17.30,94.915
"Jackson Holliday",42126,31781,sa3020241,BAL,2B/SS,$13.02,$12.00,$6,$24,$11.30,96.61
"Josh Hader",18391,14212,sa658473,HOU,RP,$13.00,$13.00,$6,$26,$9.90,100
"Munetaka Murakami",48240,37120,sa3063258,CHW,1B/3B,$12.95,$13.00,$4,$25,$12.40,100
"Willy Adames",18407,15986,sa736655,SFG,SS,$12.88,$13.00,$4,$20,$9.30,54.237
"Andres Munoz",33259,20373,sa919548,SEA,RP,$12.86,$12.00,$9,$27,$14.10,98.305
"Taylor Ward",22048,17548,sa858832,SEA,OF,$12.72,$12.00,$6,$23,$15.80,77.966
"Kazuma Okamoto",48239,37123,sa3063134,TOR,1B/3B,$12.63,$13.00,$4,$21,$11.40,100
"Zach Neto",42156,31347,sa3019855,LAA,SS,$12.56,$10.00,$5,$31,$25.90,100
"Eury Perez",38559,27768,sa3014807,MIA,SP,$12.53,$12.00,$4,$27,$17.50,100
"Carlos Rodon",18359,16137,sa598286,NYY,SP,$12.53,$13.00,$3,$21,$12.20,100
"MacKenzie Gore",23810,22201,sa3005068,TEX,SP,$12.27,$12.00,$5,$28,$17.10,100
"Edwin Diaz",23601,14710,sa657938,"LAD AAA",RP,$12.22,$10.00,$5,$31,$8.70,76.271
"Vinnie Pasquantino",37094,27676,sa1115762,KCR,1B,$11.87,$11.00,$4,$28,$8.60,93.22
"Nathan Eovaldi",9335,9132,sa455169,TEX,SP,$11.80,$11.00,$6,$31,$8.70,67.797
"Adley Rutschman",37257,26288,sa3011643,BOS,C,$11.69,$10.00,$4,$33,$9.00,98.305
"Tatsuya Imai",48241,37124,sa3062955,HOU,SP/RP,$11.47,$11.00,$1,$33,$4.80,50.847
"Shota Imanaga",44526,33829,sa3023346,CHC,SP,$11.46,$11.00,$3,$24,$8.40,96.61
"Isaac Paredes",23831,20036,sa920275,HOU,1B/3B,$11.37,$11.00,$4,$20,$8.50,100
"Shane McClanahan",33647,21483,sa3008547,TBR,SP,$11.35,$11.00,$2,$32,$15.20,96.61
"Devin Williams",19268,15816,sa737560,NYM,RP,$11.27,$11.00,$6,$18,$7.30,50.847
"Roki Sasaki",46091,35323,sa3025686,LAD,SP,$11.26,$10.00,$1,$34,$12.10,98.305
"Ranger Suarez",31194,17277,sa659551,BOS,SP,$11.08,$11.00,$6,$20,$11.00,100
"George Springer",18124,12856,sa526414,TOR,OF,$11.04,$10.00,$4,$26,$10.50,93.22
"Ozzie Albies",18397,16556,sa830219,ATL,2B,$10.95,$10.00,$4,$32,$10.50,100
"Sandy Alcantara",20732,18684,sa828383,MIA,SP,$10.95,$10.00,$5,$20,$11.10,100
"Gerrit Cole",18116,13125,sa454389,NYY,SP,$10.90,$10.00,$3,$28,$12.60,100
"Brendan Donovan",34619,24679,sa3006675,SEA,2B/SS/3B/OF,$10.73,$10.00,$5,$23,$12.20,94.915
"Geraldo Perdomo",26198,22799,sa3003290,ARI,SS,$10.73,$11.00,$3,$26,$18.80,100
"Nico Hoerner",33627,21479,sa3007867,CHC,2B/SS,$10.61,$11.00,$4,$17,$9.40,100
"Willson Contreras",12398,11609,sa508176,BOS,1B,$10.51,$10.00,$2,$21,$8.40,100
"Jeremy Pena",35939,21636,sa876320,HOU,SS,$10.39,$10.00,$3,$22,$14.50,100
"Nick Pivetta",19398,15454,sa737889,SDP,SP,$10.36,$10.00,$2,$28,$8.70,93.22
"Tanner Bibee",40978,30134,sa3018170,CLE,SP,$10.32,$10.00,$3,$19,$6.20,96.61
"Steven Kwan",35824,24610,sa3008536,CLE,OF,$10.16,$10.00,$1,$19,$7.40,98.305
"Gleyber Torres",18487,16997,sa830372,DET,2B,$10.05,$10.00,$3,$20,$5.50,100
"Raisel Iglesias",18422,17130,sa830702,ATL,RP,$9.73,$9.00,$4,$21,$8.70,100
"Brandon Lowe",31741,18882,sa874181,PIT,2B,$9.73,$9.00,$3,$20,$9.10,100
"Spencer Schwellenbach",42737,31846,sa3020703,ATL,SP,$9.69,$9.00,$3,$22,$8.50,93.22
"Jacob Misiorowski",42711,31623,sa3020644,MIL,SP,$9.66,$8.00,$3,$31,$18.00,100
"Shane Baz",23794,22264,sa3004765,BAL,SP,$9.59,$9.00,$2,$17,$7.90,100
"Brice Turang",33634,22186,sa3008294,MIL,2B,$9.56,$9.00,$3,$22,$14.00,100
"Gavin Williams",40941,30122,sa3018106,CLE,SP,$9.51,$9.00,$5,$17,$8.40,100
"Zac Gallen",23779,19291,sa857550,ARI,SP,$9.50,$8.50,$2,$26,$3.40,33.898
"Nick Lodolo",36686,26378,sa917947,CIN,SP,$9.46,$10.00,$4,$16,$6.40,81.356
"Kerry Carpenter",37300,25961,sa3010689,DET,OF,$9.35,$9.00,$6,$14,$3.90,28.814
"Maikel Garcia",26154,22715,sa3003246,KCR,2B/SS/3B/OF,$9.02,$7.00,$3,$29,$18.20,98.305
"Steven Matz",13962,13361,sa500832,TBR,SP/RP,$9.00,$9.00,$1,$17,$1.80,3.39
"Tyler Soderstrom",38388,27467,sa3014489,ATH,1B/OF,$8.98,$7.00,$3,$24,$17.60,100
"Luis Robert Jr.",23780,20043,sa3003396,BAL,OF,$8.88,$7.00,$1,$30,$5.10,57.627
"Matt Chapman",18378,16505,sa828672,SFG,3B,$8.85,$8.50,$1,$17,$3.90,44.068
"Michael Busch",37841,26319,sa3011540,CHC,1B,$8.83,$8.50,$4,$19,$11.40,98.305
"Shea Langeliers",36669,25816,sa3010329,ATH,C,$8.78,$8.00,$5,$26,$13.70,100
"Bryce Miller",40550,29837,sa3017414,SEA,SP,$8.73,$8.00,$1,$19,$8.20,94.915
"Aaron Nola",18357,16149,sa599230,PHI,SP,$8.65,$7.00,$1,$24,$6.70,83.051
"Ben Rice",40255,29576,sa3016974,NYY,C/1B,$8.58,$7.00,$3,$26,$17.00,100
"Luis Arraez",20545,18568,sa828153,PHI,1B/2B,$8.52,$8.00,$2,$19,$8.20,98.305
"Max Muncy",18255,13301,sa503373,LAD,3B,$8.32,$9.00,$1,$16,$8.30,100
"David Bednar",31951,19569,sa915715,NYY,RP,$8.20,$8.00,$4,$18,$11.70,100
"Trey Yesavage",45790,35456,sa3045705,TOR,SP,$8.07,$7.00,$3,$31,$15.50,98.305
"Heliot Ramos",23834,22515,sa3004693,NYY,OF,$7.98,$8.00,$5,$13,$7.10,83.051
"Cade Smith",38754,27867,sa3015086,CLE,RP,$7.97,$7.00,$5,$24,$14.30,100
"Nolan McLean",44336,33703,sa3023053,NYM,SP,$7.93,$6.00,$3,$26,$16.00,100
"Dylan Crews",43950,33541,sa3022882,WSN,OF,$7.93,$7.00,$2,$26,$6.50,98.305
"Kyle Bradish",35874,24586,sa3008605,BAL,SP,$7.92,$7.00,$3,$26,$12.10,100
"Jung Hoo Lee",44524,33824,sa3012640,SFG,OF,$7.92,$8.00,$2,$17,$5.50,100
"Chase Burns",45706,35333,sa3028086,CIN,SP/RP,$7.92,$6.00,$3,$22,$18.50,100
"Drew Rasmussen",35922,25385,sa829799,TBR,SP,$7.90,$7.00,$4,$20,$10.40,100
"Jack Flaherty",20920,17479,sa828681,"DET AAA",SP,$7.88,$7.00,$2,$19,$4.00,55.932
"Ezequiel Tovar",35628,24064,sa3008239,COL,SS,$7.88,$8.50,$2,$13,$2.90,27.119
"Jac Caglianone",45720,35041,sa3025245,KCR,1B/OF,$7.86,$7.00,$3,$25,$17.50,100
"Salvador Perez",8626,7304,sa392995,KCR,C/1B,$7.83,$8.00,$1,$22,$3.70,77.966
"Hunter Goodman",40389,29715,sa3017173,COL,C,$7.63,$7.00,$3,$21,$15.70,100
"Cam Schlittler",43589,32095,sa3021981,NYY,SP,$7.63,$7.00,$3,$17,$10.60,100
"Bubba Chandler",40564,29868,sa3017428,PIT,SP,$7.61,$7.00,$4,$19,$10.90,100
"Wilyer Abreu",27058,23772,sa3005082,BOS,OF,$7.61,$7.00,$2,$20,$12.80,100
"Aroldis Chapman",5644,10233,sa523977,BOS,RP,$7.58,$7.00,$4,$16,$9.90,100
"Ryan Helsley",22651,18138,sa874172,BAL,RP,$7.58,$8.00,$2,$15,$4.40,67.797
"Konnor Griffin",45769,35376,sa3065496,PIT,SS,$7.53,$5.00,$2,$35,$18.40,100
"Pete Fairbanks",20435,17998,sa827454,MIA,RP,$7.52,$8.00,$2,$14,$4.30,55.932
"Eugenio Suarez",9668,12552,sa505033,CIN,3B,$7.49,$7.00,$1,$21,$3.50,79.661
"Connelly Early",44515,33666,sa3023308,WSN,SP,$7.47,$7.50,$2,$18,$7.30,98.305
"Jordan Lawlar",40260,29976,sa3017662,ARI,2B/SS/3B/OF,$7.45,$8.00,$3,$14,$6.80,98.305
"Sal Stewart",42358,31505,sa3020130,CIN,1B/2B/3B,$7.24,$6.00,$3,$20,$13.50,100
"Alec Burleson",38368,27615,sa3014466,STL,1B/OF,$7.17,$6.00,$3,$17,$6.00,100
"Ceddanne Rafaela",33907,24262,sa3005581,BOS,2B/OF,$7.10,$7.00,$3,$16,$6.30,100
"Jacob Wilson",44003,33266,sa3022538,ATH,SS,$7.09,$6.00,$3,$14,$7.20,89.831
"Dansby Swanson",18506,18314,sa659260,CHC,SS,$7.07,$7.00,$2,$13,$7.30,69.492
"Robbie Ray",14941,11486,sa549085,SDP,SP,$7.07,$7.00,$1,$17,$4.00,98.305
"Matt McLain",40371,29695,sa3017154,CIN,2B/SS,$7.03,$6.00,$2,$19,$3.10,62.712
"Ha-seong Kim",38127,27506,sa3011918,ATL,2B/SS,$7.00,$7.00,$7,$7,$1.60,1.695
"TJ Friedl",23788,19522,sa943754,CIN,OF,$7.00,$7.00,$2,$12,$2.10,13.559
"Xavier Edwards",33645,22266,sa3007018,MIA,2B/SS,$6.91,$7.00,$1,$13,$4.30,98.305
"Colson Montgomery",40262,29712,sa3017170,CHW,SS/3B,$6.85,$7.00,$3,$19,$10.50,100
"Jonathan Aranda",33217,21837,sa919293,TBR,1B,$6.71,$6.00,$3,$17,$7.60,100
"Jared Jones",38361,27863,sa3014459,PIT,SP,$6.69,$7.00,$1,$14,$4.80,100
"Spencer Torkelson",38320,27465,sa3014504,DET,1B,$6.63,$6.00,$2,$13,$4.10,86.441
"Samuel Basallo",39288,28824,sa3015716,BAL,C/1B,$6.63,$6.00,$4,$17,$10.90,100
"Colt Keith",38374,27899,sa3014474,DET,1B/2B/3B,$6.61,$7.00,$1,$16,$3.30,86.441
"Corbin Burnes",23813,19361,sa873673,ARI,SP,$6.60,$6.00,$1,$17,$6.20,98.305
"Jose Soriano",32009,22100,sa916702,TOR,SP,$6.56,$6.00,$2,$17,$7.20,100
"Andy Pages",33949,24816,sa3005625,LAD,OF,$6.54,$6.00,$3,$22,$10.20,100
"Jordan Westburg",38398,27815,sa3014499,BAL,2B/3B,$6.41,$6.00,$2,$15,$5.10,86.441
"Kyle Stowers",37480,26151,sa1115829,MIA,1B/OF,$6.39,$5.00,$3,$18,$13.90,100
"Noelvi Marte",36030,26517,sa3008745,"CIN AAA",3B/OF,$6.31,$6.00,$3,$12,$3.60,27.119
"Carlos Estevez",23613,14542,sa598491,KCR,RP,$6.27,$6.00,$3,$14,$2.20,25.424
"Robert Suarez",22078,30115,sa869798,ATL,RP,$6.26,$6.00,$2,$11,$3.80,77.966
"Brandon Woodruff",23693,16162,sa597893,MIL,SP,$6.26,$6.00,$2,$17,$3.70,72.881
"Jo Adell",23792,20220,sa3004837,CLE,OF,$6.25,$6.00,$3,$12,$6.20,96.61
"Ryan Pepiot",37649,26221,sa3011244,TBR,SP,$6.23,$6.00,$2,$14,$6.10,81.356
"Bryson Stott",37531,26294,sa3011443,PHI,2B/SS/3B,$6.20,$6.00,$1,$11,$5.00,100
"Spencer Steer",37216,26323,sa3010586,CIN,1B/2B/OF,$6.17,$6.00,$1,$17,$4.40,77.966
"Shane Bieber",23814,19427,sa873698,TOR,SP,$6.09,$6.00,$2,$15,$5.30,59.322
"Trevor Megill",20989,17722,sa828803,MIL,RP,$6.05,$6.00,$3,$11,$5.70,100
"Lawrence Butler",34788,22542,sa3006873,ATH,OF,$6.04,$6.00,$2,$15,$7.10,96.61
"Erik Swanson",21160,16587,sa829145,FA,RP,$6.00,$6.00,$6,$6,$2.00,1.695
"Luke Keaschall",44057,33321,sa3022614,MIN,2B/OF,$6.00,$5.00,$3,$16,$6.60,100
"Scott Barlow",28784,14993,sa597976,"KCR AAA",RP,$6.00,$6.00,$6,$6,$1.50,1.695
"Yainer Diaz",26292,23003,sa3003386,HOU,C,$6.00,$5.00,$2,$13,$2.40,33.898
"Connor Joe",20332,16572,sa827153,"SEA AAA",1B/OF,$6.00,$6.00,$6,$6,$1.50,1.695
"Lourdes Gurriel Jr.",23722,19238,sa908697,ARI,OF,$6.00,$2.50,$1,$15,$1.70,16.949
"Roch Cholowsky",49401,,sa3028866,"CHW A+",Util,$5.90,$5.50,$1,$13,$5.10,84.746
"Mitch Keller",20936,17594,sa828700,PIT,SP,$5.85,$6.00,$1,$13,$3.50,45.763
"Ivan Herrera",26099,20599,sa3003191,STL,C,$5.81,$5.00,$1,$14,$8.60,100
"Brenton Doyle",36803,25479,sa3009965,CHW,OF,$5.80,$6.00,$2,$10,$2.40,8.475
"Trevor Rogers",33607,22286,sa3005423,BAL,SP,$5.78,$5.00,$2,$14,$7.40,100
"Braxton Ashcraft",35776,23793,sa3008470,PIT,SP/RP,$5.76,$5.00,$1,$14,$6.30,100
"Carter Jensen",40505,29478,sa3017339,KCR,C,$5.76,$5.00,$1,$13,$6.70,100
"Ryan Walker",35205,20423,sa3007594,"SFG AAA",RP,$5.75,$5.50,$3,$9,$2.00,6.78
"Jasson Dominguez",37635,28080,sa3014696,NYY,OF,$5.70,$6.00,$1,$12,$5.30,67.797
"Edward Cabrera",33325,21690,sa920423,"CHC AAA",SP,$5.68,$5.00,$2,$11,$3.60,69.492
"Kevin McGonigle",44223,33572,sa3022895,DET,SS/3B,$5.68,$5.00,$2,$21,$11.50,100
"Travis Bazzana",45709,34967,sa3025129,CLE,2B,$5.66,$5.00,$1,$10,$4.20,100
"Masyn Winn",38404,27479,sa3014506,STL,SS,$5.63,$6.00,$1,$12,$3.20,50.847
"Drake Baldwin",42221,31539,sa3019920,ATL,C,$5.59,$5.00,$3,$17,$10.00,100
"Daniel Palencia",38781,27914,sa3015122,CHC,RP,$5.55,$5.00,$2,$13,$5.10,83.051
"Payton Tolle",46310,35466,sa3043900,BOS,SP,$5.54,$5.00,$1,$13,$6.10,100
"Kenley Jansen",2916,3096,sa295200,DET,RP,$5.51,$6.00,$2,$11,$3.90,72.881
"JJ Wetherholt",45713,34985,sa3025154,STL,2B/SS,$5.51,$4.00,$2,$18,$10.50,100
"Josh Lowe",23752,19953,sa917926,LAA,OF,$5.40,$4.00,$1,$13,$1.80,8.475
"Kodai Senga",42723,31838,,NYM,SP/RP,$5.38,$4.00,$1,$19,$2.60,71.186
"Royce Lewis",23796,20437,sa3004259,MIN,1B/2B/3B,$5.34,$5.00,$1,$17,$4.80,98.305
"Esmerlyn Valdez",39340,29005,sa3015768,PIT,OF,$5.34,$5.00,$1,$14,$7.60,100
"Jeff Hoffman",18364,17432,sa709602,MIN,RP,$5.30,$5.00,$2,$12,$3.30,96.61
"Jeremiah Estrada",27208,22210,sa3005339,SDP,RP,$5.29,$5.00,$1,$13,$3.90,64.407
"Parker Messick",42765,31986,sa3020748,CLE,SP,$5.29,$5.00,$1,$14,$5.00,100
"Griffin Jax",31438,20253,sa738570,TBR,SP/RP,$5.24,$5.00,$2,$11,$4.60,100
"Kris Bubic",35566,21455,sa3008128,LAD,SP,$5.23,$5.00,$2,$14,$3.90,89.831
"Emmet Sheehan",40552,29839,sa3017416,LAD,SP,$5.21,$4.00,$2,$18,$4.60,79.661
"Ryan Weathers",33670,23796,sa3008436,NYY,SP,$5.13,$5.00,$1,$16,$4.70,93.22
"Pablo Lopez",18786,17085,sa736473,MIN,SP,$5.12,$4.00,$1,$25,$3.80,84.746
"Daylen Lile",40714,29995,sa3017698,WSN,OF,$5.12,$5.00,$1,$11,$6.40,100
"Matthew Boyd",18465,15440,sa621603,CHC,SP,$5.11,$5.00,$1,$11,$4.40,93.22
"Clay Holmes",23790,13649,sa598167,CHC,SP,$5.07,$5.00,$1,$16,$5.60,98.305
"Xander Bogaerts",13117,12161,sa550735,SDP,SS,$5.06,$5.00,$1,$21,$2.90,59.322
"Francisco Alvarez",37427,26121,sa3010862,NYM,C,$5.04,$4.00,$1,$14,$3.60,84.746
"Andrew Painter",40829,30091,sa3017880,PHI,SP,$5.02,$5.00,$1,$12,$6.00,100
"Mitchell Parker",38689,27636,sa3014973,WSN,SP/RP,$5.00,$5.00,$3,$7,$1.40,3.39
"JP Sears",23865,23429,sa3004100,"SDP AAA",SP/RP,$5.00,$5.00,$5,$5,$1.70,1.695
"Connor Phillips",38343,27649,sa3014433,"CIN AAA",RP,$5.00,$5.00,$5,$5,$1.90,1.695
"Brendan Rodgers",18476,17907,sa874238,BOS,2B,$5.00,$5.00,$5,$5,$1.80,1.695
"Mark Leiter Jr.",19574,15551,sa738283,ATH,RP,$5.00,$5.00,$5,$5,$1.30,1.695
"CJ Kayfus",44348,33704,sa3023068,"CLE AAA",1B/OF,$5.00,$5.00,$5,$5,$1.80,1.695
"Marco Luciano",33646,25616,sa3010022,"NYY AAA",2B/OF,$5.00,$5.00,$5,$5,$2.20,1.695
"Ronny Mauricio",33640,23698,sa3006887,"NYM AAA",2B/SS/3B,$5.00,$5.00,$5,$5,$1.70,3.39
"Ryan Yarbrough",19747,16502,sa738545,NYY,SP/RP,$5.00,$5.00,$5,$5,$2.20,1.695
"Kyren Paris",38004,26420,sa3011768,LAA,2B/SS/OF,$5.00,$5.00,$5,$5,$1.70,1.695
"Trevor Williams",18608,16977,sa708217,TEX,SP/RP,$5.00,$5.00,$5,$5,$1.30,1.695
"Brett Wisely",37125,27735,sa1170003,"ATL AAA",2B/SS,$5.00,$5.00,$5,$5,$1.50,1.695
"Giovanny Gallegos",31173,14986,sa659493,FA,RP,$5.00,$5.00,$5,$5,$1.70,1.695
"Alec Bohm",33609,21618,sa3007284,PHI,1B/3B,$4.98,$4.00,$1,$14,$4.00,86.441
